Date,SPY
2013-06-27,130.6010284423828
2013-06-28,130.06593322753906
2013-07-01,130.82803344726562
2013-07-02,130.70643615722656
2013-07-03,130.76318359375
2013-07-05,132.1739501953125
2013-07-08,132.92799377441406
2013-07-09,133.88475036621094
2013-07-10,133.9334259033203
2013-07-11,135.7576141357422
2013-07-12,135.8144073486328
2013-07-15,136.33328247070312
2013-07-16,135.82249450683594
2013-07-17,136.17112731933594
2013-07-18,136.9169921875
2013-07-19,137.16030883789062
2013-07-22,137.42782592773438
2013-07-23,137.13595581054688
2013-07-24,136.63327026367188
2013-07-25,136.96566772460938
2013-07-26,137.11160278320312
2013-07-29,136.69007873535156
2013-07-30,136.69007873535156
2013-07-31,136.78732299804688
2013-08-01,138.3683319091797
2013-08-02,138.60353088378906
2013-08-05,138.40078735351562
2013-08-06,137.61434936523438
2013-08-07,137.16835021972656
2013-08-08,137.67108154296875
2013-08-09,137.27377319335938
2013-08-12,137.11160278320312
2013-08-13,137.51698303222656
2013-08-14,136.8116912841797
2013-08-15,134.898193359375
2013-08-16,134.4522705078125
2013-08-19,133.59286499023438
2013-08-20,134.2495574951172
2013-08-21,133.422607421875
2013-08-22,134.6387481689453
2013-08-23,135.0927276611328
2013-08-26,134.59005737304688
2013-08-27,132.42530822753906
2013-08-28,132.8955535888672
2013-08-29,133.10635375976562
2013-08-30,132.68478393554688
2013-09-03,133.28468322753906
2013-09-04,134.3873748779297
2013-09-05,134.55764770507812
2013-09-06,134.62249755859375
2013-09-09,135.91163635253906
2013-09-10,136.9169921875
2013-09-11,137.3467254638672
2013-09-12,136.98190307617188
2013-09-13,137.29002380371094
2013-09-16,138.08460998535156
2013-09-17,138.70079040527344
2013-09-18,140.30609130859375
2013-09-19,140.0709686279297
2013-09-20,139.0916748046875
2013-09-23,138.4480438232422
2013-09-24,138.12208557128906
2013-09-25,137.72293090820312
2013-09-26,138.2525177001953
2013-09-27,137.6170196533203
2013-09-30,136.8837127685547
2013-10-01,137.96730041503906
2013-10-02,137.83697509765625
2013-10-03,136.56593322753906
2013-10-04,137.60072326660156
2013-10-07,136.41119384765625
2013-10-08,134.8224639892578
2013-10-09,134.92019653320312
2013-10-10,137.82887268066406
2013-10-11,138.71688842773438
2013-10-14,139.2709197998047
2013-10-15,138.2606658935547
2013-10-16,140.1915740966797
2013-10-17,141.12847900390625
2013-10-18,142.08169555664062
2013-10-21,142.08990478515625
2013-10-22,142.9127655029297
2013-10-23,142.2283935546875
2013-10-24,142.70095825195312
2013-10-25,143.35272216796875
2013-10-28,143.58091735839844
2013-10-29,144.34669494628906
2013-10-30,143.6297149658203
2013-10-31,143.2223663330078
2013-11-01,143.56459045410156
2013-11-04,144.0697479248047
2013-11-05,143.6134796142578
2013-11-06,144.34669494628906
2013-11-07,142.52171325683594
2013-11-08,144.44447326660156
2013-11-11,144.46888732910156
2013-11-12,144.17559814453125
2013-11-13,145.3325653076172
2013-11-14,146.0576171875
2013-11-15,146.69317626953125
2013-11-18,146.17984008789062
2013-11-19,145.86215209960938
2013-11-20,145.40589904785156
2013-11-21,146.57913208007812
2013-11-22,147.31236267089844
2013-11-25,147.1657257080078
2013-11-26,147.20643615722656
2013-11-27,147.56491088867188
2013-11-29,147.46719360351562
2013-12-02,147.08419799804688
2013-12-03,146.44871520996094
2013-12-04,146.43246459960938
2013-12-05,145.78880310058594
2013-12-06,147.4182891845703
2013-12-09,147.79306030273438
2013-12-10,147.26348876953125
2013-12-11,145.60955810546875
2013-12-12,145.12884521484375
2013-12-13,145.11257934570312
2013-12-16,146.01695251464844
2013-12-17,145.55252075195312
2013-12-18,148.03744506835938
2013-12-19,147.8663787841797
2013-12-20,148.7264862060547
2013-12-23,149.52110290527344
2013-12-24,149.84873962402344
2013-12-26,150.61058044433594
2013-12-27,150.6023712158203
2013-12-30,150.5778350830078
2013-12-31,151.29052734375
2014-01-02,149.84054565429688
2014-01-03,149.81600952148438
2014-01-06,149.3818359375
