Series,CAGR,AnnVol,Sharpe,MaxDD,TotalReturn
Strategy (net),0.102706,0.157472,0.700633,-0.549336,3.600948
SPY (net ER),0.137006,0.173263,0.829126,-0.337228,6.419469
