CAGR,AnnVol,Sharpe,MaxDD
-0.005872,0.123984,0.014680,-0.388827
0.008386,0.129476,0.129480,-0.473096
-0.081137,0.128060,-0.596406,-0.783181
-0.085024,0.128951,-0.624266,-0.782756
-0.030644,0.127861,-0.179291,-0.539512
-0.051665,0.129522,-0.344475,-0.602771
-0.069454,0.124617,-0.515052,-0.724542
-0.039371,0.126940,-0.252715,-0.702956
-0.070388,0.129057,-0.500726,-0.741836
-0.086850,0.128317,-0.643557,-0.794612
-0.069478,0.124766,-0.514502,-0.727319
-0.097571,0.128358,-0.735285,-0.812344
-0.015731,0.125456,-0.063465,-0.706314
-0.003807,0.127933,0.034347,-0.498156
-0.106935,0.127086,-0.825979,-0.871691
0.022003,0.131821,0.231235,-0.427144
-0.061988,0.128221,-0.434701,-0.780580
-0.078870,0.126265,-0.587194,-0.742912
-0.050989,0.129899,-0.337681,-0.707349
-0.071950,0.129150,-0.513270,-0.764905
-0.028703,0.125223,-0.169744,-0.585824
-0.041005,0.126733,-0.266769,-0.645244
-0.020282,0.128646,-0.094746,-0.498751
-0.050818,0.127217,-0.346061,-0.632873
-0.092718,0.125953,-0.709186,-0.791251
-0.075576,0.130432,-0.536924,-0.801946
-0.093199,0.128816,-0.694641,-0.803533
-0.059852,0.127559,-0.419828,-0.673621
-0.071771,0.128303,-0.516024,-0.788724
-0.043093,0.127286,-0.282180,-0.599761
-0.011976,0.127181,-0.030968,-0.574302
-0.030988,0.129926,-0.177051,-0.673103
-0.026422,0.128990,-0.142912,-0.623043
-0.119381,0.127538,-0.932529,-0.879610
-0.036042,0.128121,-0.222221,-0.605608
-0.005480,0.125613,0.019220,-0.491263
-0.122858,0.131130,-0.933598,-0.883724
-0.077628,0.130459,-0.553885,-0.721547
-0.068488,0.126597,-0.496814,-0.728824
-0.105691,0.131735,-0.781585,-0.826343
-0.023279,0.128163,-0.119506,-0.576027
-0.045337,0.127811,-0.298884,-0.694669
-0.058802,0.127656,-0.410667,-0.678258
-0.007578,0.128832,0.005626,-0.473333
-0.023559,0.128644,-0.120740,-0.764891
-0.037054,0.124804,-0.239952,-0.741855
-0.020582,0.127144,-0.099800,-0.454812
-0.078871,0.132562,-0.553189,-0.816878
0.023016,0.127237,0.242650,-0.445259
-0.088547,0.129044,-0.653564,-0.875956
-0.022600,0.127567,-0.115208,-0.473604
-0.085667,0.131226,-0.616506,-0.824690
-0.006478,0.125965,0.011568,-0.584534
-0.069248,0.125883,-0.506791,-0.697485
-0.006847,0.128520,0.010989,-0.424543
-0.040935,0.126400,-0.267251,-0.688353
-0.107225,0.131835,-0.793922,-0.841020
-0.030365,0.128011,-0.176679,-0.664827
-0.047946,0.131933,-0.306165,-0.652520
-0.108048,0.129375,-0.818656,-0.858965
-0.020568,0.127101,-0.099755,-0.493115
-0.012451,0.127175,-0.034747,-0.733341
