day,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
211,0.406200,0.426561,0.340498,0.434213,0.439140,0.363659,0.391666,0.443314,0.418919,0.422078,0.457882,0.514658,0.316005,0.299773,0.288454,0.436740,0.457558,0.334633,0.385020,0.437765,0.395746,0.369067,0.492420,0.431469,0.354936,0.475827,0.512727,0.319917,0.380786,0.350517,0.397656,0.377563,0.376495,0.405884,0.448880,0.513605,0.418637,0.318609,0.332577,0.455354,0.358332,0.490805,0.372299,0.390381,0.425620,0.407456,0.418563,0.334820,0.412472,0.377947,0.407998,0.440441,0.433515,0.490406,0.431884,0.470011,0.323148,0.327019,0.372771,0.399545,0.421652,0.531743,0.457001,0.364080,0.388952,0.393305,0.394148,0.489302,0.368847,0.493012,0.501805,0.532428,0.323356,0.386430,0.576886,0.395228,0.476561,0.309604,0.419423,0.457314,0.364890,0.439794,0.489053,0.513307,0.368248,0.519129,0.383411,0.351977,0.399938,0.472440,0.360341,0.426049,0.342616,0.433959,0.400653,0.484104,0.483898,0.409958,0.434160,0.500694
232,0.391575,0.419714,0.315464,0.413995,0.435999,0.337032,0.401315,0.432728,0.400889,0.385044,0.420718,0.562959,0.321722,0.292526,0.266382,0.412176,0.446485,0.326822,0.405207,0.434322,0.403040,0.348885,0.499635,0.446898,0.362175,0.482075,0.528680,0.313297,0.367556,0.346594,0.401436,0.366774,0.376939,0.415138,0.472673,0.540950,0.380412,0.334661,0.323426,0.471643,0.359057,0.522575,0.360527,0.382581,0.422023,0.378414,0.394701,0.339791,0.406108,0.372402,0.399227,0.441914,0.417631,0.453666,0.421939,0.514042,0.323023,0.345409,0.347118,0.394935,0.415660,0.534030,0.460634,0.335462,0.384941,0.404861,0.381200,0.485834,0.361739,0.502153,0.487430,0.518426,0.338949,0.399352,0.592130,0.381715,0.482518,0.294499,0.384860,0.454321,0.364205,0.466521,0.445246,0.514919,0.358928,0.522038,0.400627,0.372468,0.370617,0.482498,0.334228,0.445491,0.353131,0.442014,0.400224,0.484402,0.494960,0.419314,0.441019,0.481697
253,0.378238,0.441956,0.333320,0.427666,0.448434,0.332753,0.374893,0.421901,0.411257,0.370164,0.404175,0.567735,0.322213,0.292621,0.242448,0.422584,0.458002,0.338554,0.405078,0.430720,0.349845,0.323223,0.507812,0.451741,0.356036,0.485018,0.491949,0.319077,0.386742,0.373570,0.378863,0.366482,0.374150,0.400899,0.446018,0.553762,0.381417,0.321447,0.320118,0.466904,0.356859,0.498496,0.336997,0.373424,0.402301,0.358556,0.389171,0.330005,0.400999,0.355994,0.396382,0.431277,0.417013,0.430618,0.431111,0.512442,0.339860,0.329189,0.352886,0.394629,0.405142,0.544575,0.476492,0.344211,0.373467,0.381895,0.395135,0.480727,0.358854,0.520068,0.489357,0.544102,0.324670,0.374875,0.627983,0.380938,0.495277,0.297226,0.364227,0.432291,0.370299,0.453259,0.426658,0.511862,0.351257,0.510093,0.409938,0.375829,0.369312,0.512182,0.351694,0.438226,0.368828,0.439694,0.393975,0.478546,0.495611,0.408590,0.444085,0.425713
274,0.370620,0.429150,0.333050,0.443379,0.475021,0.316934,0.392786,0.394275,0.428382,0.346936,0.351135,0.590085,0.324818,0.296545,0.251513,0.443625,0.448274,0.331738,0.394633,0.430482,0.349390,0.317496,0.493682,0.441526,0.354354,0.498003,0.487486,0.325925,0.368307,0.365015,0.379885,0.389002,0.351101,0.406177,0.414593,0.541008,0.395602,0.319733,0.336587,0.458628,0.358912,0.509308,0.344190,0.391767,0.412531,0.359141,0.389534,0.324169,0.375813,0.360327,0.379575,0.448120,0.413357,0.426592,0.435182,0.514139,0.364763,0.332044,0.362338,0.394978,0.423209,0.585506,0.470709,0.358496,0.349312,0.409965,0.354693,0.463334,0.331422,0.518463,0.497635,0.527087,0.341923,0.352494,0.613285,0.330750,0.503164,0.301918,0.374372,0.400718,0.362894,0.447998,0.447349,0.528921,0.362297,0.520351,0.415725,0.359491,0.363293,0.469531,0.344139,0.423650,0.373695,0.436554,0.394634,0.482230,0.507427,0.353270,0.416382,0.446342
295,0.358008,0.445405,0.314347,0.403852,0.491494,0.338842,0.407772,0.418335,0.459694,0.348058,0.320470,0.600372,0.315283,0.273275,0.261722,0.425840,0.459572,0.346475,0.362717,0.443564,0.355141,0.330942,0.462017,0.446303,0.368079,0.508103,0.479105,0.318022,0.358584,0.354481,0.383766,0.388631,0.386037,0.436854,0.420906,0.537421,0.393708,0.337237,0.337704,0.472026,0.381449,0.518373,0.358120,0.397477,0.426834,0.356633,0.410454,0.330373,0.366421,0.339665,0.374320,0.391244,0.406779,0.460686,0.447433,0.535676,0.384223,0.322259,0.376132,0.391340,0.415529,0.551192,0.463644,0.335280,0.344048,0.417674,0.354038,0.481157,0.324313,0.500284,0.489247,0.548356,0.355419,0.354494,0.646127,0.345417,0.534176,0.304775,0.401442,0.395989,0.366064,0.464932,0.421081,0.560296,0.344489,0.501906,0.414756,0.366125,0.365723,0.478764,0.359803,0.433259,0.377783,0.442904,0.397566,0.463184,0.488532,0.362876,0.423581,0.421712
316,0.356386,0.442132,0.299134,0.398106,0.467321,0.343706,0.431478,0.400631,0.456863,0.340569,0.317158,0.575250,0.317306,0.272987,0.261757,0.413899,0.445092,0.330302,0.367712,0.448711,0.347625,0.330042,0.489607,0.451234,0.367284,0.511559,0.470015,0.332114,0.362802,0.365250,0.377542,0.396614,0.387165,0.452198,0.408447,0.558491,0.414931,0.344528,0.328967,0.489753,0.380573,0.490899,0.329656,0.402259,0.440730,0.345583,0.420538,0.299031,0.387721,0.350434,0.368642,0.397104,0.408402,0.467579,0.471521,0.543288,0.378432,0.338329,0.382522,0.407879,0.417013,0.569187,0.448084,0.350619,0.333572,0.391525,0.361652,0.470916,0.323240,0.516161,0.465779,0.531173,0.358963,0.348921,0.643735,0.345798,0.545861,0.289430,0.413171,0.415921,0.361708,0.490451,0.416416,0.614871,0.350195,0.512037,0.424450,0.376318,0.367959,0.422097,0.382348,0.429872,0.366569,0.451858,0.409459,0.446527,0.482197,0.378706,0.441392,0.429648
337,0.327282,0.443987,0.297709,0.391443,0.474938,0.325927,0.432496,0.353702,0.466916,0.335041,0.344303,0.581889,0.313333,0.286229,0.270456,0.405605,0.460543,0.334734,0.379004,0.460568,0.326667,0.315113,0.495923,0.466320,0.348804,0.501629,0.470160,0.364420,0.354232,0.357035,0.349424,0.365619,0.385620,0.420547,0.374090,0.586824,0.408823,0.317628,0.301405,0.455389,0.370599,0.487349,0.317659,0.417157,0.412510,0.349865,0.401150,0.295031,0.403932,0.350936,0.372996,0.388165,0.369234,0.468949,0.496707,0.532905,0.376808,0.345575,0.402854,0.406131,0.418153,0.562676,0.451499,0.353437,0.347123,0.401540,0.351251,0.465260,0.331615,0.537561,0.475639,0.512501,0.348605,0.370931,0.602842,0.321132,0.533170,0.276877,0.391997,0.430123,0.356096,0.468620,0.425165,0.644164,0.366367,0.557459,0.441485,0.393163,0.355264,0.379387,0.374598,0.432784,0.378440,0.463590,0.415280,0.452485,0.485157,0.386393,0.426931,0.429070
358,0.341738,0.453476,0.316495,0.408248,0.484739,0.331093,0.424121,0.336489,0.455837,0.325231,0.356769,0.591065,0.309316,0.280775,0.273547,0.394686,0.466516,0.342887,0.365974,0.430531,0.325306,0.294847,0.530930,0.441767,0.343944,0.505036,0.477250,0.365347,0.353731,0.363754,0.356485,0.386295,0.390345,0.441546,0.361054,0.584776,0.383983,0.326170,0.316407,0.467561,0.355517,0.480853,0.319421,0.440821,0.410773,0.337946,0.399227,0.308593,0.381240,0.337175,0.390294,0.349303,0.369334,0.491210,0.520269,0.535082,0.381104,0.362219,0.381372,0.428183,0.417971,0.511317,0.441203,0.355761,0.329099,0.376279,0.375079,0.440644,0.359416,0.545981,0.463692,0.493807,0.367859,0.389562,0.612290,0.325868,0.542716,0.247297,0.393589,0.402675,0.360372,0.480066,0.426309,0.635170,0.368545,0.565965,0.450803,0.381779,0.325736,0.372296,0.372914,0.446145,0.369514,0.499908,0.377246,0.467847,0.518199,0.367288,0.379577,0.420920
379,0.357162,0.475950,0.307265,0.385358,0.463098,0.333536,0.421898,0.346690,0.459983,0.320848,0.348226,0.575067,0.314118,0.275078,0.272968,0.344496,0.466355,0.322621,0.378109,0.441114,0.317060,0.284093,0.543834,0.411205,0.351137,0.495170,0.452341,0.345434,0.342456,0.369238,0.371255,0.395338,0.396187,0.441972,0.355943,0.582467,0.378958,0.310294,0.313864,0.468425,0.361555,0.485793,0.331890,0.445795,0.389031,0.342409,0.409895,0.323726,0.379836,0.328965,0.400640,0.332205,0.364503,0.475616,0.554723,0.560920,0.395144,0.340767,0.376511,0.442639,0.427466,0.516980,0.448553,0.337113,0.287766,0.392298,0.365855,0.433819,0.363249,0.523343,0.475118,0.483286,0.378530,0.386519,0.572964,0.322084,0.558562,0.260623,0.383233,0.433407,0.373688,0.460322,0.440454,0.547603,0.345863,0.570943,0.460695,0.335341,0.309067,0.371806,0.395201,0.447669,0.385103,0.516631,0.366478,0.463901,0.476536,0.349108,0.366950,0.405578
400,0.345102,0.449647,0.313167,0.382646,0.458928,0.330016,0.408263,0.341521,0.478117,0.303864,0.340647,0.556430,0.310684,0.282104,0.256165,0.368468,0.474465,0.310064,0.375426,0.425313,0.311931,0.278864,0.540057,0.396144,0.370188,0.502117,0.423442,0.352067,0.324100,0.374535,0.386996,0.397657,0.395736,0.460924,0.342668,0.583877,0.380741,0.311942,0.320881,0.456552,0.365498,0.492766,0.338631,0.433801,0.386988,0.339864,0.366806,0.326331,0.364228,0.346939,0.413654,0.326533,0.368111,0.456169,0.530151,0.561057,0.395448,0.331133,0.332295,0.458992,0.417584,0.532334,0.436742,0.323562,0.291597,0.393799,0.359249,0.449496,0.338981,0.535737,0.465482,0.471479,0.373689,0.376306,0.551193,0.330784,0.569555,0.263140,0.365173,0.446365,0.397767,0.451160,0.453698,0.572538,0.366148,0.571257,0.452300,0.321708,0.325860,0.344178,0.381204,0.456002,0.360806,0.547471,0.358695,0.460417,0.480884,0.360722,0.357251,0.403609
421,0.352097,0.437857,0.297491,0.400549,0.477896,0.329399,0.444849,0.366790,0.471060,0.308499,0.370135,0.560997,0.322154,0.274419,0.236159,0.377357,0.442948,0.286912,0.360473,0.423693,0.310227,0.285780,0.544337,0.384931,0.362179,0.502712,0.452526,0.343978,0.345261,0.383552,0.402773,0.375752,0.394573,0.484238,0.352498,0.590965,0.382194,0.314476,0.341146,0.465262,0.370072,0.504463,0.340388,0.393494,0.394985,0.337196,0.356319,0.303156,0.384159,0.344052,0.412530,0.321767,0.372054,0.467845,0.557306,0.540053,0.391212,0.311076,0.341610,0.471755,0.404057,0.517309,0.405723,0.326003,0.285914,0.394753,0.344628,0.464481,0.339162,0.519336,0.458626,0.459477,0.402415,0.350401,0.515641,0.319276,0.577722,0.275463,0.347130,0.439050,0.390253,0.486041,0.449034,0.601671,0.376937,0.547834,0.455667,0.346826,0.322128,0.339489,0.405127,0.429184,0.365756,0.518577,0.356658,0.465886,0.465605,0.360844,0.360640,0.399300
442,0.372590,0.444100,0.288122,0.370028,0.445493,0.327308,0.402467,0.341743,0.437453,0.330217,0.349954,0.561249,0.301604,0.257307,0.229536,0.377777,0.466762,0.288708,0.361225,0.440461,0.308923,0.287632,0.585874,0.400107,0.335723,0.538157,0.460879,0.347854,0.345881,0.361260,0.417524,0.351747,0.406068,0.465752,0.356557,0.591723,0.392786,0.335326,0.331164,0.467077,0.371155,0.485684,0.337122,0.421370,0.374755,0.347584,0.373796,0.292336,0.380269,0.351192,0.424296,0.315458,0.361366,0.479416,0.545908,0.525584,0.357135,0.307940,0.340533,0.444999,0.413598,0.530399,0.425911,0.330779,0.287628,0.391022,0.359991,0.476288,0.350481,0.530928,0.427021,0.465937,0.402592,0.342357,0.491989,0.331296,0.596196,0.268420,0.380669,0.419703,0.403624,0.478893,0.448201,0.608080,0.395297,0.526960,0.471728,0.359028,0.301142,0.323707,0.363413,0.441023,0.372357,0.505523,0.374471,0.437226,0.499731,0.343359,0.356098,0.400488
463,0.377254,0.428164,0.288795,0.386105,0.461117,0.311677,0.408295,0.330013,0.417465,0.324765,0.353662,0.593999,0.300317,0.248244,0.233260,0.375072,0.479834,0.286059,0.364194,0.465111,0.312293,0.286915,0.613626,0.409470,0.344861,0.551340,0.461101,0.350175,0.351157,0.364688,0.407005,0.357659,0.428295,0.450120,0.335862,0.635502,0.410556,0.327620,0.331708,0.469063,0.385393,0.497864,0.318581,0.422329,0.371016,0.328587,0.379108,0.307696,0.349789,0.352233,0.449255,0.272647,0.375154,0.474149,0.539394,0.528610,0.329455,0.300591,0.376654,0.471732,0.428294,0.527344,0.408233,0.334800,0.298072,0.384088,0.342659,0.451557,0.349497,0.476064,0.409533,0.480766,0.415597,0.330888,0.490911,0.333955,0.556763,0.262930,0.383067,0.425373,0.392961,0.496553,0.448374,0.570142,0.383332,0.484326,0.461496,0.345970,0.314337,0.299642,0.340715,0.443367,0.373508,0.513289,0.372196,0.451061,0.497319,0.347723,0.361952,0.395237
484,0.394115,0.425400,0.285084,0.393634,0.452203,0.314063,0.414115,0.345424,0.423081,0.320863,0.360635,0.585300,0.308945,0.246488,0.213119,0.375159,0.493276,0.297128,0.377776,0.471168,0.331550,0.272488,0.576107,0.401807,0.340271,0.587032,0.457459,0.342433,0.340659,0.351570,0.383723,0.355298,0.424630,0.479928,0.326722,0.659071,0.426951,0.339077,0.326620,0.495177,0.361490,0.508877,0.307217,0.362211,0.360175,0.307390,0.371315,0.297914,0.369366,0.338826,0.411527,0.283139,0.383507,0.468559,0.548300,0.487264,0.332157,0.309347,0.405956,0.471641,0.423098,0.535680,0.401652,0.294984,0.314218,0.380095,0.342161,0.469009,0.365830,0.458156,0.376842,0.502189,0.429477,0.328305,0.511367,0.346942,0.581631,0.284585,0.379828,0.415910,0.402593,0.531404,0.437876,0.559780,0.391924,0.481428,0.484506,0.359259,0.312336,0.310162,0.334051,0.423191,0.362436,0.499994,0.394816,0.426254,0.489259,0.366545,0.369708,0.373113
