day,p2.5,p5,p25,p50,p75,p95,p97.5
75,0.351166,0.361200,0.395255,0.419810,0.443768,0.472310,0.486022
76,0.350596,0.359707,0.394299,0.419944,0.443396,0.473636,0.485625
77,0.350650,0.359220,0.394270,0.419409,0.443699,0.474880,0.486122
78,0.348789,0.359035,0.393662,0.419616,0.443614,0.475830,0.486882
79,0.348550,0.357986,0.393343,0.419282,0.443473,0.477217,0.487743
80,0.347767,0.357203,0.392938,0.419582,0.444149,0.477325,0.487936
81,0.347714,0.357628,0.392755,0.419045,0.444289,0.477741,0.487401
82,0.346433,0.357197,0.392495,0.418621,0.444246,0.478559,0.489064
83,0.346223,0.357011,0.392790,0.418433,0.444648,0.477855,0.490104
84,0.344833,0.357326,0.391988,0.418503,0.444703,0.478105,0.490632
85,0.343740,0.356672,0.392105,0.417690,0.444878,0.477822,0.490455
86,0.343432,0.356035,0.391732,0.417320,0.445273,0.478667,0.491052
87,0.343284,0.355270,0.391172,0.417449,0.445567,0.478951,0.489514
88,0.342544,0.355982,0.391800,0.416797,0.445134,0.479505,0.490524
89,0.341892,0.355538,0.391062,0.417578,0.444966,0.480082,0.491447
90,0.341837,0.354880,0.390837,0.416435,0.444373,0.479801,0.490842
91,0.342066,0.354576,0.391237,0.416711,0.444380,0.481081,0.490114
92,0.342088,0.354347,0.391196,0.416978,0.444543,0.481282,0.490216
93,0.341638,0.353546,0.390785,0.416335,0.443629,0.481591,0.490975
94,0.337684,0.353422,0.390149,0.416289,0.444030,0.481055,0.491732
95,0.338666,0.352883,0.390255,0.416073,0.444456,0.481033,0.492293
96,0.337914,0.352796,0.389653,0.416801,0.444603,0.480904,0.491263
97,0.338874,0.351579,0.389835,0.416420,0.444476,0.482300,0.492534
98,0.338516,0.351413,0.389253,0.416323,0.444871,0.482227,0.492250
99,0.338156,0.350809,0.389587,0.416663,0.443978,0.482993,0.493744
100,0.337941,0.350599,0.389712,0.416619,0.444251,0.483268,0.495974
101,0.337342,0.349957,0.389374,0.416690,0.444345,0.483663,0.494392
102,0.336774,0.348743,0.388922,0.416466,0.443760,0.483741,0.494847
103,0.334588,0.347910,0.388268,0.415842,0.443783,0.484238,0.496296
104,0.334844,0.347876,0.388404,0.415423,0.444668,0.483988,0.497721
105,0.335747,0.348503,0.387670,0.415251,0.444517,0.485324,0.496752
106,0.334949,0.348232,0.387798,0.415133,0.445173,0.485527,0.496940
107,0.334197,0.348692,0.387691,0.415503,0.445423,0.485057,0.497477
108,0.334473,0.348853,0.386637,0.415409,0.445226,0.486570,0.497829
109,0.334425,0.347837,0.386392,0.415266,0.444402,0.485500,0.497378
110,0.333899,0.347762,0.385349,0.414469,0.445204,0.485776,0.496246
111,0.333325,0.347440,0.385357,0.414035,0.445122,0.485193,0.497811
112,0.333493,0.346274,0.385483,0.414374,0.445745,0.485775,0.497918
113,0.331755,0.344473,0.385669,0.414321,0.446056,0.486605,0.498487
114,0.332134,0.344809,0.384990,0.414514,0.445878,0.486228,0.497978
115,0.332159,0.343867,0.385547,0.414996,0.445998,0.486571,0.498598
116,0.330764,0.343803,0.384774,0.414657,0.446154,0.486388,0.499844
117,0.331102,0.343358,0.385170,0.414293,0.446039,0.487008,0.498239
118,0.332361,0.343127,0.384971,0.414243,0.446387,0.487665,0.498633
119,0.332375,0.343247,0.384489,0.413760,0.446699,0.487555,0.499508
120,0.331824,0.343362,0.385166,0.413569,0.446686,0.488834,0.500135
121,0.332153,0.343367,0.384722,0.413568,0.446567,0.489855,0.503236
122,0.330618,0.342500,0.384637,0.413909,0.446720,0.489243,0.501969
123,0.331610,0.342424,0.384251,0.414680,0.446644,0.488583,0.503480
124,0.330762,0.342148,0.383864,0.414659,0.447039,0.489497,0.503684
125,0.329488,0.341361,0.383312,0.413867,0.447268,0.488888,0.503419
126,0.328447,0.340765,0.382718,0.414077,0.447982,0.489758,0.504317
127,0.328527,0.341176,0.382737,0.414395,0.447720,0.490870,0.504282
128,0.328223,0.340660,0.382493,0.414456,0.447867,0.491134,0.503937
129,0.328206,0.340488,0.382460,0.413810,0.447751,0.492409,0.504112
130,0.328231,0.340595,0.381972,0.413603,0.448486,0.491009,0.503783
131,0.328870,0.340561,0.381701,0.413404,0.448357,0.491411,0.506109
132,0.328170,0.339986,0.381429,0.413240,0.448254,0.491371,0.505944
133,0.326912,0.340332,0.381128,0.413301,0.447593,0.491624,0.506254
134,0.327133,0.340042,0.381101,0.413461,0.447796,0.491277,0.505991
135,0.327365,0.339396,0.380591,0.412782,0.447490,0.492843,0.507118
136,0.326903,0.338568,0.381152,0.412811,0.447451,0.493814,0.505906
137,0.327970,0.338125,0.380645,0.412704,0.446699,0.494517,0.507418
138,0.327872,0.338354,0.380895,0.413213,0.447405,0.495276,0.506473
139,0.327244,0.338213,0.380447,0.412988,0.447412,0.494912,0.508824
140,0.326466,0.338220,0.380199,0.412819,0.447424,0.493831,0.509107
141,0.324793,0.337835,0.379553,0.413412,0.447610,0.493160,0.507908
142,0.324764,0.337416,0.379934,0.413108,0.447659,0.493899,0.509844
143,0.324457,0.336776,0.380303,0.412537,0.447317,0.494867,0.509039
144,0.323271,0.335128,0.379528,0.412304,0.447278,0.496473,0.508963
145,0.322647,0.334783,0.379012,0.412879,0.447613,0.496135,0.508849
146,0.321985,0.334415,0.378567,0.412373,0.447552,0.496946,0.509495
147,0.322340,0.332695,0.378420,0.411808,0.447954,0.497651,0.509339
148,0.320982,0.334915,0.378342,0.411971,0.447003,0.497003,0.510525
149,0.320264,0.333620,0.378985,0.412027,0.447203,0.497021,0.509934
150,0.320745,0.333802,0.378365,0.412249,0.447449,0.497068,0.510574
151,0.319582,0.333702,0.378200,0.411838,0.446726,0.497438,0.510767
152,0.319067,0.333097,0.377505,0.411992,0.446281,0.499165,0.510479
153,0.319256,0.334296,0.376779,0.411910,0.446613,0.499119,0.510535
154,0.318821,0.333572,0.377324,0.411624,0.446175,0.498061,0.510156
155,0.318661,0.332519,0.376745,0.411784,0.446833,0.498186,0.511103
156,0.318630,0.332206,0.377423,0.411559,0.446271,0.496800,0.510792
157,0.317761,0.331907,0.377283,0.411647,0.446663,0.496863,0.513137
158,0.317930,0.331882,0.376862,0.411589,0.446951,0.496652,0.513839
159,0.317155,0.331536,0.376823,0.410938,0.447511,0.496654,0.512661
160,0.316852,0.331323,0.376626,0.411261,0.447967,0.497132,0.514496
161,0.316216,0.330722,0.376603,0.411301,0.447781,0.497220,0.514267
162,0.316116,0.329812,0.376920,0.411172,0.447078,0.497097,0.513377
163,0.315709,0.329070,0.376437,0.411504,0.446424,0.498291,0.513824
164,0.314936,0.328442,0.376164,0.411764,0.447022,0.498169,0.514688
165,0.314499,0.327127,0.376720,0.411512,0.447185,0.498833,0.515044
166,0.315223,0.326454,0.376836,0.411132,0.446566,0.498572,0.515911
167,0.313945,0.325923,0.376548,0.411271,0.448110,0.498648,0.515878
168,0.312899,0.326511,0.376364,0.411081,0.447958,0.499310,0.517474
169,0.312929,0.325826,0.375530,0.411256,0.447938,0.499699,0.516827
170,0.312531,0.325787,0.375618,0.411248,0.446858,0.499723,0.516434
171,0.313443,0.325928,0.375585,0.410830,0.447327,0.499223,0.518035
172,0.313693,0.325072,0.374787,0.411173,0.446364,0.500333,0.516640
173,0.313212,0.325039,0.374492,0.410826,0.446821,0.499230,0.519065
174,0.311306,0.324911,0.374265,0.411010,0.446885,0.499866,0.516659
175,0.311511,0.326904,0.374161,0.410370,0.447021,0.499105,0.517014
176,0.310771,0.325642,0.373582,0.410401,0.446711,0.497787,0.516891
177,0.310918,0.325571,0.373401,0.410947,0.447270,0.498455,0.517289
178,0.311498,0.325191,0.372823,0.411158,0.446506,0.500008,0.514516
179,0.311564,0.325146,0.372778,0.410898,0.445935,0.500288,0.515186
