day,p2.5,p5,p25,p50,p75,p95,p97.5
376,0.263532,0.283530,0.344413,0.392377,0.445292,0.531456,0.561926
377,0.262969,0.282977,0.344632,0.391592,0.446263,0.530135,0.562859
378,0.261047,0.283768,0.344574,0.392245,0.446764,0.531875,0.565786
379,0.261710,0.283021,0.344768,0.391789,0.446231,0.529614,0.563588
380,0.261440,0.283817,0.344307,0.391716,0.445919,0.530848,0.562802
381,0.262170,0.283834,0.344312,0.391233,0.446253,0.531939,0.561642
382,0.262196,0.282384,0.343842,0.391765,0.447141,0.530697,0.561851
383,0.261979,0.282100,0.343787,0.391458,0.447348,0.532437,0.563501
384,0.262588,0.281932,0.343657,0.390928,0.448342,0.528543,0.565677
385,0.263043,0.281881,0.343390,0.390432,0.447888,0.526904,0.566669
386,0.263204,0.281116,0.343429,0.389349,0.447714,0.526492,0.564697
387,0.262639,0.280802,0.343561,0.389113,0.445596,0.528014,0.564508
388,0.263921,0.279934,0.343750,0.389543,0.446047,0.528763,0.562672
389,0.263599,0.280616,0.343226,0.389557,0.445915,0.527247,0.562583
390,0.263652,0.281476,0.343559,0.389679,0.445574,0.526768,0.561661
391,0.264128,0.281180,0.342859,0.389211,0.447109,0.526172,0.562451
392,0.264720,0.280825,0.343344,0.389273,0.446580,0.526481,0.560753
393,0.263762,0.281096,0.343208,0.389249,0.445884,0.526759,0.562594
394,0.263582,0.280263,0.343070,0.389536,0.446492,0.527307,0.562815
395,0.263051,0.279648,0.343002,0.388896,0.447006,0.527511,0.561853
396,0.263015,0.279676,0.343079,0.388320,0.446043,0.527780,0.560974
397,0.262447,0.280371,0.342436,0.389087,0.446390,0.527460,0.563310
398,0.261818,0.280067,0.342613,0.388495,0.445821,0.529962,0.564076
399,0.261506,0.280060,0.341771,0.388362,0.447083,0.529351,0.559907
400,0.261140,0.279163,0.341433,0.388261,0.446356,0.530229,0.560373
401,0.262347,0.279062,0.341302,0.388249,0.446503,0.529489,0.560113
402,0.263044,0.279834,0.341580,0.387846,0.446530,0.526098,0.560392
403,0.260255,0.280072,0.341562,0.387600,0.446965,0.525844,0.559199
404,0.261562,0.279500,0.341807,0.388390,0.446896,0.524646,0.557308
405,0.261773,0.278686,0.341261,0.388455,0.446353,0.525648,0.559487
406,0.261905,0.279954,0.341179,0.388221,0.445429,0.526095,0.559998
407,0.261362,0.279678,0.340875,0.388071,0.445440,0.527607,0.560081
408,0.262026,0.278922,0.340693,0.387438,0.446592,0.526798,0.560025
409,0.261752,0.277655,0.341198,0.387825,0.445916,0.526201,0.558561
410,0.261846,0.277729,0.340807,0.389171,0.445881,0.526963,0.557594
411,0.261354,0.278272,0.341159,0.389540,0.446685,0.527029,0.557635
412,0.261977,0.278020,0.340691,0.389430,0.446353,0.526049,0.558643
413,0.260173,0.278529,0.340785,0.389124,0.446172,0.528333,0.556646
414,0.260104,0.278625,0.340382,0.389022,0.445417,0.527838,0.556226
415,0.260089,0.277646,0.339901,0.388511,0.445351,0.526780,0.557434
416,0.259641,0.276934,0.339432,0.388728,0.445926,0.526754,0.555013
417,0.257913,0.277672,0.339604,0.388698,0.446099,0.527306,0.557212
418,0.258465,0.277260,0.339304,0.388997,0.446340,0.528537,0.558249
419,0.257967,0.276412,0.339162,0.388362,0.446801,0.527039,0.558584
420,0.258962,0.274897,0.338843,0.388199,0.446367,0.526029,0.558357
421,0.257637,0.276149,0.339167,0.388502,0.446743,0.525844,0.560296
422,0.257801,0.277061,0.338720,0.387487,0.447414,0.526483,0.561550
423,0.257996,0.276797,0.339139,0.387720,0.447314,0.527633,0.562398
424,0.256859,0.274655,0.338602,0.387510,0.446809,0.528365,0.559512
425,0.255376,0.273588,0.338078,0.387702,0.447034,0.527017,0.560179
426,0.254489,0.273798,0.337684,0.387579,0.446187,0.528093,0.557694
427,0.257437,0.274561,0.337480,0.387208,0.445790,0.528574,0.560145
428,0.256327,0.274532,0.336854,0.387363,0.445874,0.531261,0.558932
429,0.256549,0.274196,0.337638,0.387269,0.446023,0.530317,0.560003
430,0.255024,0.274267,0.337347,0.386168,0.444759,0.531132,0.559744
431,0.254950,0.274562,0.337656,0.386640,0.444516,0.529709,0.561079
432,0.255770,0.273626,0.337923,0.387134,0.445171,0.530514,0.561110
433,0.255787,0.274583,0.337313,0.387344,0.445363,0.531687,0.562446
434,0.255878,0.274326,0.337719,0.386950,0.445598,0.529972,0.561659
435,0.255117,0.274251,0.336911,0.386899,0.444982,0.530642,0.564731
436,0.253148,0.273865,0.335809,0.387034,0.445315,0.531678,0.564971
437,0.253780,0.274587,0.336303,0.387444,0.444945,0.532896,0.565028
438,0.254051,0.273417,0.336067,0.386959,0.445155,0.531143,0.563780
439,0.253375,0.272855,0.335876,0.386612,0.445827,0.530836,0.563072
440,0.253273,0.272715,0.335573,0.386046,0.445509,0.530054,0.561505
441,0.252953,0.272155,0.336241,0.386152,0.444584,0.532006,0.562801
442,0.252520,0.273210,0.336075,0.386802,0.445159,0.532108,0.562711
443,0.252364,0.274070,0.335786,0.386661,0.445419,0.532567,0.560280
444,0.252637,0.273345,0.335437,0.386937,0.445255,0.532872,0.562290
445,0.253867,0.273519,0.335441,0.386670,0.445608,0.533521,0.562253
446,0.252866,0.273621,0.335290,0.386697,0.445801,0.533226,0.563511
447,0.252632,0.273027,0.334852,0.385705,0.446326,0.533807,0.565548
448,0.251767,0.272032,0.334592,0.385704,0.446102,0.532651,0.569005
449,0.251632,0.270147,0.334642,0.385546,0.446359,0.535039,0.568503
450,0.250211,0.271780,0.334185,0.384842,0.446555,0.532693,0.568381
451,0.250350,0.271894,0.334518,0.385313,0.445905,0.531544,0.568748
452,0.252144,0.271010,0.334254,0.385385,0.445434,0.533681,0.569237
453,0.252166,0.270360,0.334220,0.384732,0.446036,0.532565,0.570949
454,0.253013,0.270018,0.333403,0.385080,0.446581,0.532820,0.569851
455,0.251632,0.269881,0.333886,0.384022,0.446149,0.533680,0.568735
456,0.251700,0.270542,0.334201,0.384313,0.446359,0.534805,0.568072
457,0.251048,0.269216,0.334099,0.384653,0.445574,0.532730,0.567332
458,0.251316,0.268999,0.333975,0.384831,0.445325,0.532712,0.568402
459,0.251366,0.267382,0.333234,0.384213,0.446619,0.532612,0.570908
460,0.250109,0.267408,0.333555,0.384106,0.446154,0.531333,0.570209
461,0.249964,0.267964,0.333489,0.384880,0.445910,0.533384,0.571812
462,0.249843,0.266780,0.333418,0.385179,0.446357,0.533834,0.572340
463,0.249576,0.266514,0.333235,0.384493,0.446192,0.534960,0.572351
464,0.249365,0.266057,0.332402,0.384188,0.446783,0.536552,0.570995
465,0.248961,0.266832,0.332436,0.384004,0.446521,0.537243,0.572582
466,0.249517,0.265860,0.332196,0.383967,0.446616,0.538054,0.572840
467,0.248886,0.266945,0.332404,0.383911,0.446141,0.538269,0.570894
468,0.248840,0.266775,0.332630,0.383474,0.445521,0.537851,0.573653
469,0.247967,0.265876,0.331437,0.383482,0.444857,0.538417,0.572703
470,0.248368,0.265816,0.331929,0.384135,0.445365,0.538052,0.571314
471,0.247960,0.266199,0.331761,0.383825,0.444110,0.537516,0.571998
472,0.247849,0.266370,0.332276,0.383886,0.444097,0.537954,0.571147
473,0.248301,0.266767,0.332179,0.383482,0.443691,0.540430,0.573755
474,0.248468,0.267315,0.332070,0.383899,0.444151,0.542492,0.575516
475,0.249216,0.266492,0.332070,0.383749,0.444536,0.542729,0.574140
476,0.248146,0.265716,0.332019,0.383887,0.445904,0.543315,0.575951
477,0.248489,0.265593,0.332217,0.384172,0.444712,0.543728,0.572668
478,0.247692,0.265889,0.331374,0.384769,0.444206,0.543539,0.575241
479,0.248585,0.264796,0.330697,0.383459,0.444136,0.542599,0.577476
480,0.249187,0.265112,0.331427,0.383278,0.444291,0.541533,0.578017
481,0.247923,0.264146,0.331530,0.383598,0.444726,0.539661,0.577079
482,0.246176,0.263925,0.330826,0.383603,0.445398,0.540365,0.577447
483,0.246740,0.263645,0.330319,0.383197,0.446176,0.539804,0.578476
484,0.246007,0.263358,0.330331,0.383180,0.446201,0.539881,0.578546
485,0.245470,0.263103,0.329920,0.383137,0.446584,0.539142,0.578042
486,0.246806,0.263453,0.329966,0.383171,0.446035,0.540482,0.580126
487,0.247196,0.264113,0.329580,0.382941,0.445799,0.538143,0.578962
488,0.247628,0.263389,0.329550,0.382801,0.444718,0.539468,0.578132
489,0.246209,0.263661,0.329628,0.382900,0.444643,0.539993,0.579204
490,0.246989,0.262479,0.329197,0.383000,0.443839,0.537877,0.578898
491,0.246789,0.262907,0.328522,0.382680,0.444383,0.536811,0.580210
492,0.245106,0.262144,0.328210,0.382628,0.443895,0.539067,0.578913
493,0.244909,0.261318,0.328015,0.382832,0.445229,0.539111,0.579115
494,0.244561,0.259807,0.328402,0.382690,0.444713,0.536703,0.578397
495,0.244598,0.259979,0.328630,0.383028,0.444141,0.538773,0.578040
496,0.245539,0.260695,0.328317,0.383532,0.445381,0.537686,0.578677
497,0.245369,0.260592,0.328468,0.384157,0.445358,0.536819,0.577146
498,0.245780,0.261549,0.328470,0.384216,0.444526,0.538418,0.576933
499,0.244757,0.260485,0.328331,0.383005,0.445031,0.540383,0.577420
500,0.245638,0.259895,0.327167,0.383386,0.446113,0.540961,0.576851
501,0.245459,0.259725,0.327581,0.383358,0.445905,0.538959,0.575359
502,0.245513,0.259725,0.327559,0.383059,0.445069,0.538703,0.577650
503,0.245136,0.259336,0.328088,0.383311,0.446421,0.540153,0.578996
504,0.245575,0.259380,0.327498,0.382647,0.446768,0.541604,0.580770
505,0.245264,0.259010,0.326985,0.382844,0.445986,0.541977,0.577539
506,0.245254,0.258861,0.327001,0.383012,0.445280,0.541159,0.577712
507,0.245322,0.258137,0.327302,0.383007,0.445337,0.542163,0.579144
508,0.245146,0.257345,0.327814,0.383524,0.445207,0.541171,0.579607
509,0.245644,0.257866,0.327342,0.383148,0.446476,0.542184,0.578014
510,0.245829,0.258308,0.327498,0.383200,0.445327,0.544537,0.577018
511,0.244966,0.257699,0.327371,0.382849,0.445584,0.546082,0.577296
512,0.245281,0.258143,0.326542,0.382835,0.446761,0.546747,0.578137
513,0.245131,0.257340,0.327076,0.382686,0.446655,0.546510,0.577747
514,0.244940,0.257267,0.326967,0.381513,0.447277,0.546457,0.579553
515,0.244915,0.256945,0.326978,0.382332,0.446318,0.544874,0.579603
516,0.245492,0.257470,0.326646,0.381991,0.445733,0.546212,0.578329
517,0.244613,0.258063,0.326596,0.381843,0.445643,0.546633,0.579458
518,0.244809,0.256945,0.327197,0.381565,0.445715,0.546649,0.578927
519,0.243958,0.256374,0.328047,0.382334,0.446737,0.545054,0.578397
520,0.245094,0.257298,0.327000,0.382582,0.445844,0.543867,0.580322
521,0.243453,0.256668,0.327366,0.382667,0.445218,0.546800,0.580704
522,0.242044,0.256890,0.327370,0.382400,0.443774,0.546898,0.584280
523,0.242194,0.256274,0.327003,0.382243,0.444902,0.546255,0.582654
524,0.240626,0.255323,0.326830,0.381847,0.444908,0.547785,0.584252
525,0.240942,0.255049,0.326789,0.381717,0.443773,0.547023,0.584840
526,0.240779,0.255808,0.326765,0.381558,0.444526,0.544895,0.582404
527,0.240326,0.256206,0.326487,0.381907,0.444295,0.543578,0.582737
528,0.240267,0.255934,0.327291,0.381297,0.445658,0.544382,0.581818
529,0.239077,0.255215,0.327029,0.381734,0.446009,0.545619,0.578009
530,0.239488,0.255545,0.326351,0.381125,0.446131,0.545707,0.579030
531,0.239422,0.254642,0.325634,0.381188,0.445888,0.546099,0.581446
532,0.238082,0.254952,0.326715,0.381486,0.445964,0.544989,0.580284
533,0.238235,0.254514,0.326474,0.381287,0.444646,0.546311,0.579497
534,0.238150,0.255838,0.326386,0.380375,0.445739,0.547266,0.579809
535,0.238046,0.255402,0.327178,0.380701,0.445305,0.544697,0.579580
536,0.238095,0.255450,0.327120,0.380814,0.445858,0.545723,0.578035
537,0.237849,0.255783,0.327032,0.380386,0.445931,0.547384,0.581049
538,0.237314,0.255457,0.326352,0.380788,0.445448,0.545031,0.579476
539,0.237227,0.255874,0.326563,0.380199,0.444344,0.545607,0.580231
540,0.237571,0.255877,0.326866,0.380228,0.444594,0.547104,0.578421
541,0.237052,0.255284,0.326365,0.380466,0.444243,0.545112,0.580184
542,0.236835,0.255293,0.325450,0.379977,0.444451,0.545753,0.580436
543,0.236366,0.256381,0.325725,0.379958,0.445082,0.547119,0.577718
544,0.235400,0.254971,0.324987,0.380716,0.445313,0.544804,0.579623
545,0.233916,0.255184,0.325677,0.379791,0.445343,0.544760,0.582644
546,0.233564,0.254079,0.325754,0.379964,0.444792,0.543929,0.580196
547,0.231549,0.255199,0.324867,0.379918,0.444802,0.544628,0.582598
548,0.232921,0.255148,0.324068,0.379812,0.445117,0.545853,0.582681
549,0.233576,0.253752,0.324218,0.379479,0.444549,0.545050,0.584383
550,0.231495,0.253396,0.324327,0.379393,0.443535,0.547285,0.585741
551,0.232247,0.252872,0.324410,0.380051,0.443922,0.546887,0.585336
552,0.231814,0.252712,0.324427,0.380104,0.444300,0.549159,0.585528
553,0.232505,0.252806,0.324393,0.380189,0.443553,0.547369,0.585381
554,0.233126,0.253522,0.323594,0.380931,0.443521,0.547370,0.585306
555,0.233423,0.252076,0.323946,0.380595,0.442824,0.548490,0.584672
556,0.232533,0.250041,0.322883,0.380362,0.442461,0.550019,0.583406
557,0.233380,0.250522,0.322849,0.379794,0.442838,0.549594,0.584870
558,0.233044,0.251624,0.322770,0.379896,0.443688,0.550124,0.582699
559,0.233143,0.251544,0.323131,0.379843,0.443835,0.548635,0.582497
560,0.232303,0.252256,0.323159,0.379226,0.443988,0.549139,0.583439
561,0.231705,0.251356,0.322771,0.378565,0.443686,0.550200,0.583845
562,0.232568,0.251834,0.322187,0.378676,0.445428,0.551880,0.585714
563,0.231880,0.251036,0.321796,0.378796,0.443711,0.551979,0.586970
564,0.231510,0.250626,0.322061,0.378807,0.444001,0.550882,0.585097
565,0.230639,0.250246,0.322248,0.378611,0.443683,0.551406,0.586770
566,0.231503,0.249980,0.322125,0.378507,0.444487,0.551889,0.587602
567,0.231251,0.250199,0.322342,0.378379,0.444551,0.554502,0.587158
568,0.231732,0.250335,0.322807,0.378147,0.444085,0.552464,0.587571
569,0.231798,0.251171,0.322930,0.377168,0.444433,0.551230,0.587657
570,0.231920,0.251116,0.322962,0.377594,0.444524,0.550855,0.587904
571,0.230448,0.250421,0.323149,0.377859,0.443210,0.550195,0.588662
572,0.230559,0.249784,0.322981,0.377394,0.444371,0.552104,0.587533
573,0.231129,0.250727,0.322945,0.377884,0.443522,0.551280,0.589913
574,0.229118,0.249720,0.322963,0.377613,0.443294,0.550378,0.587947
575,0.228860,0.249863,0.322434,0.377142,0.442355,0.553428,0.588311
576,0.229340,0.250084,0.321863,0.378097,0.442902,0.551401,0.591095
577,0.229214,0.250301,0.321118,0.377714,0.441845,0.550670,0.586248
578,0.228577,0.251558,0.321032,0.377164,0.441979,0.550155,0.584966
579,0.228549,0.250657,0.321366,0.377367,0.442045,0.550372,0.586205
580,0.228781,0.250434,0.321420,0.377240,0.442180,0.550394,0.586433
581,0.228544,0.250703,0.321041,0.376594,0.441782,0.549563,0.587084
582,0.227423,0.250686,0.320698,0.377202,0.442205,0.549762,0.591053
583,0.227670,0.250599,0.320996,0.377927,0.442451,0.549671,0.589874
584,0.227428,0.250370,0.320547,0.377495,0.442491,0.550432,0.593388
585,0.228115,0.251364,0.320522,0.377621,0.442841,0.551513,0.592175
586,0.227863,0.250378,0.319663,0.377454,0.442607,0.550484,0.592186
587,0.227727,0.249484,0.319869,0.377399,0.442375,0.549893,0.592542
588,0.227963,0.250178,0.318679,0.376752,0.442297,0.549559,0.589964
589,0.228292,0.249565,0.319036,0.376584,0.441523,0.550442,0.593774
590,0.228418,0.248993,0.318929,0.377312,0.441576,0.548714,0.592598
591,0.227258,0.249564,0.318931,0.377349,0.442024,0.547032,0.593426
592,0.226201,0.248574,0.319191,0.377156,0.441347,0.550913,0.596223
593,0.226265,0.248853,0.318496,0.376956,0.441703,0.547518,0.595084
594,0.226313,0.248150,0.317855,0.377166,0.441330,0.548915,0.593385
595,0.227826,0.248264,0.317013,0.377183,0.440920,0.547875,0.593579
596,0.227798,0.248189,0.317599,0.377816,0.441555,0.548269,0.593208
597,0.226876,0.248151,0.317665,0.377635,0.441581,0.547023,0.593101
598,0.226539,0.248714,0.317166,0.377762,0.441989,0.546518,0.591191
599,0.226090,0.248580,0.316790,0.377194,0.441410,0.546765,0.594183
600,0.227364,0.247791,0.317622,0.377465,0.440913,0.548056,0.594165
601,0.225781,0.246868,0.317718,0.377375,0.440379,0.546693,0.589959
602,0.225253,0.246697,0.317431,0.377246,0.440946,0.547680,0.591406
603,0.226673,0.246779,0.317026,0.378512,0.439838,0.549073,0.593104
604,0.226280,0.246466,0.317487,0.378129,0.439324,0.549693,0.594380
605,0.226141,0.247380,0.317061,0.377304,0.439407,0.549925,0.596475
606,0.226034,0.247815,0.317146,0.377124,0.439687,0.551545,0.597143
607,0.227089,0.246686,0.316645,0.376749,0.439362,0.551504,0.595333
608,0.226246,0.246887,0.316520,0.375466,0.439345,0.550957,0.596227
609,0.226075,0.247870,0.317147,0.375569,0.439308,0.550338,0.596025
610,0.227099,0.247121,0.316592,0.376158,0.440184,0.551138,0.596813
611,0.226401,0.246291,0.315553,0.375974,0.439313,0.552281,0.596524
612,0.226215,0.245886,0.316011,0.376468,0.439433,0.553730,0.594797
613,0.227081,0.246789,0.315847,0.375891,0.440021,0.553403,0.596016
614,0.227241,0.246417,0.315156,0.376178,0.440204,0.550285,0.593940
615,0.226333,0.246737,0.315404,0.376572,0.439802,0.548515,0.593679
616,0.225620,0.246233,0.315532,0.376433,0.440204,0.549441,0.593034
617,0.225773,0.246114,0.315542,0.374744,0.439560,0.549127,0.589834
618,0.226578,0.246108,0.315753,0.375136,0.439639,0.548994,0.592080
619,0.225490,0.245459,0.316622,0.375025,0.441170,0.546353,0.592445
620,0.225214,0.245146,0.315943,0.374441,0.440597,0.547141,0.592318
621,0.224592,0.246127,0.316092,0.374594,0.440002,0.546452,0.593020
622,0.224206,0.245107,0.315810,0.374193,0.439823,0.546604,0.592652
623,0.224573,0.245371,0.315103,0.374379,0.440063,0.545653,0.592833
624,0.223571,0.244718,0.315005,0.374666,0.441073,0.547557,0.591845
625,0.223932,0.245283,0.314352,0.373400,0.440876,0.549301,0.593942
626,0.223567,0.244987,0.315214,0.373913,0.441487,0.547284,0.593373
627,0.223200,0.246006,0.315180,0.373963,0.440700,0.548276,0.594226
628,0.223447,0.245399,0.315261,0.373850,0.440807,0.547369,0.594347
629,0.224872,0.245322,0.315072,0.373351,0.440436,0.548142,0.591186
630,0.224768,0.245332,0.314739,0.373655,0.440926,0.547462,0.590160
631,0.225166,0.245872,0.314219,0.372929,0.439849,0.545833,0.589935
632,0.225478,0.245789,0.314283,0.373630,0.441272,0.547122,0.591527
633,0.224446,0.245314,0.313599,0.373107,0.440079,0.547199,0.593367
634,0.224156,0.245600,0.313614,0.373012,0.440398,0.546714,0.593790
635,0.224466,0.245030,0.313145,0.372205,0.440153,0.547247,0.592500
636,0.223775,0.245574,0.312708,0.371516,0.440794,0.548261,0.594610
637,0.223275,0.245657,0.312576,0.373073,0.440419,0.547393,0.591509
638,0.222571,0.245617,0.313310,0.372388,0.440071,0.550437,0.592513
639,0.222082,0.244614,0.311689,0.372695,0.440621,0.549579,0.590679
640,0.222734,0.245411,0.311989,0.372391,0.441069,0.549584,0.589027
641,0.222464,0.244828,0.311933,0.372604,0.440183,0.549543,0.591519
642,0.223325,0.244290,0.311272,0.372270,0.440230,0.549264,0.593125
643,0.221491,0.243588,0.311138,0.371176,0.440459,0.549229,0.592173
644,0.221659,0.242320,0.310943,0.371565,0.440781,0.548217,0.593264
645,0.224185,0.241947,0.311282,0.371209,0.440858,0.547573,0.593196
646,0.222790,0.241644,0.311642,0.371238,0.439903,0.549768,0.589350
647,0.221496,0.242663,0.311021,0.371902,0.441042,0.549073,0.586737
648,0.220866,0.242413,0.311184,0.371653,0.440864,0.548931,0.589238
649,0.220673,0.242469,0.311007,0.371528,0.441158,0.549452,0.589716
650,0.220789,0.242961,0.311031,0.371234,0.440791,0.549661,0.589723
651,0.219489,0.242816,0.310940,0.371018,0.440341,0.550328,0.591460
652,0.218119,0.242934,0.310796,0.371391,0.440626,0.550321,0.589740
653,0.216569,0.243063,0.310960,0.371196,0.440453,0.550794,0.589098
654,0.215588,0.241749,0.311182,0.371222,0.440792,0.553366,0.589115
655,0.217138,0.241216,0.311565,0.371682,0.440588,0.552700,0.592682
656,0.216724,0.241187,0.311176,0.372004,0.440577,0.554044,0.592218
657,0.216428,0.239828,0.310420,0.372088,0.440730,0.551698,0.593574
658,0.216662,0.239947,0.310062,0.372020,0.439548,0.552594,0.594803
659,0.216997,0.239706,0.310139,0.371825,0.439083,0.551290,0.594105
660,0.216958,0.238380,0.310663,0.371689,0.439893,0.549821,0.593918
661,0.218052,0.238792,0.309981,0.371710,0.439622,0.549788,0.595141
662,0.217590,0.238893,0.310200,0.371352,0.440008,0.552362,0.596368
663,0.218087,0.238340,0.310072,0.371738,0.439581,0.551971,0.596305
664,0.216705,0.238154,0.310306,0.371973,0.440329,0.551850,0.597702
665,0.217073,0.238717,0.310334,0.371889,0.439601,0.552168,0.596782
666,0.217310,0.238207,0.310295,0.371708,0.440205,0.551566,0.596890
667,0.217510,0.238138,0.309254,0.371384,0.440401,0.550995,0.598515
668,0.217437,0.237661,0.309050,0.371342,0.440550,0.550462,0.598175
669,0.218326,0.238227,0.309803,0.371913,0.440764,0.549853,0.598554
670,0.217855,0.237142,0.310147,0.371153,0.440292,0.549740,0.597323
671,0.215581,0.237509,0.309833,0.371264,0.440196,0.550575,0.595156
672,0.216266,0.237900,0.309879,0.371038,0.440590,0.552034,0.598099
673,0.215852,0.237629,0.309716,0.370670,0.440320,0.550664,0.596160
674,0.215718,0.237223,0.309151,0.370503,0.439045,0.551745,0.595659
675,0.215736,0.237416,0.308948,0.371208,0.439728,0.551853,0.596818
676,0.215793,0.237925,0.308446,0.371372,0.439255,0.553807,0.598384
677,0.215955,0.238065,0.308398,0.371313,0.439659,0.554202,0.599619
678,0.214362,0.238097,0.308780,0.371881,0.439167,0.557000,0.597871
679,0.214271,0.237509,0.308785,0.371027,0.439096,0.555006,0.596441
680,0.214925,0.237458,0.309340,0.371572,0.438146,0.557290,0.597964
681,0.213951,0.237143,0.310358,0.372267,0.437547,0.555800,0.597620
682,0.214093,0.235928,0.310322,0.371087,0.437561,0.554420,0.598680
683,0.213519,0.236645,0.310456,0.371296,0.437682,0.553076,0.595610
684,0.214472,0.237420,0.309810,0.372319,0.437775,0.554831,0.596575
685,0.214940,0.238496,0.310423,0.373169,0.436597,0.555496,0.597574
686,0.213973,0.238155,0.310315,0.372302,0.437820,0.556216,0.596678
687,0.213158,0.238278,0.310150,0.371992,0.437480,0.557276,0.596211
688,0.212652,0.237439,0.310218,0.371933,0.437762,0.556224,0.596858
689,0.212757,0.237303,0.310340,0.371793,0.437753,0.556376,0.598653
690,0.212234,0.236967,0.310133,0.370809,0.436258,0.555576,0.599200
691,0.211576,0.236238,0.311043,0.370474,0.437742,0.555763,0.598506
692,0.213004,0.235752,0.310318,0.370179,0.438354,0.554645,0.598776
693,0.212920,0.234644,0.310069,0.370328,0.436690,0.554388,0.600117
694,0.213443,0.234424,0.309145,0.369640,0.436646,0.555588,0.598585
695,0.212470,0.234279,0.309213,0.369636,0.436248,0.554614,0.598315
696,0.212553,0.234185,0.309393,0.369890,0.436391,0.554804,0.599280
697,0.211679,0.233203,0.309153,0.369460,0.436495,0.552967,0.599275
698,0.210910,0.233351,0.308891,0.369966,0.436516,0.554886,0.599009
699,0.211905,0.233467,0.308501,0.369332,0.436396,0.551304,0.597997
700,0.211631,0.233157,0.308708,0.369212,0.436284,0.551818,0.600669
701,0.212017,0.233522,0.308936,0.370264,0.436599,0.548086,0.597997
702,0.211982,0.232669,0.308638,0.369438,0.436670,0.550195,0.600335
703,0.211166,0.231084,0.309061,0.370531,0.436578,0.550019,0.598004
704,0.212420,0.231619,0.308792,0.370463,0.436330,0.551164,0.599780
705,0.212331,0.230540,0.309368,0.370304,0.436058,0.551880,0.599399
706,0.212706,0.231718,0.309132,0.370427,0.436681,0.552302,0.598833
707,0.211575,0.230475,0.309410,0.370332,0.434736,0.550636,0.599911
708,0.211839,0.230082,0.309526,0.369228,0.434637,0.552196,0.599253
709,0.211434,0.231057,0.308869,0.369223,0.435121,0.551606,0.599208
710,0.212036,0.229433,0.308659,0.369803,0.435137,0.551979,0.598231
711,0.210321,0.229519,0.308220,0.368333,0.434973,0.551740,0.601441
712,0.209013,0.228834,0.309174,0.369794,0.433991,0.551798,0.601193
713,0.211140,0.229493,0.309337,0.368753,0.434939,0.551781,0.603703
714,0.211131,0.228180,0.308735,0.368786,0.435550,0.552020,0.603074
715,0.209117,0.227801,0.307619,0.368377,0.435762,0.551293,0.604995
716,0.209903,0.227362,0.307436,0.368749,0.435199,0.551139,0.605340
717,0.209665,0.227560,0.307728,0.368778,0.435059,0.550703,0.601444
718,0.210140,0.227799,0.306969,0.368001,0.435609,0.552741,0.603218
719,0.209874,0.227637,0.306449,0.367731,0.435587,0.551978,0.607300
720,0.210788,0.227435,0.306766,0.366692,0.435590,0.548921,0.603725
721,0.210258,0.228045,0.307406,0.367092,0.434724,0.549432,0.606128
722,0.209671,0.225667,0.307680,0.367700,0.434746,0.548900,0.603186
723,0.210006,0.225718,0.306759,0.367129,0.435935,0.548395,0.606052
724,0.209558,0.229147,0.306572,0.366384,0.436406,0.548000,0.605754
725,0.209496,0.229370,0.306750,0.366378,0.436189,0.548293,0.604059
726,0.209844,0.227115,0.306535,0.366029,0.437362,0.548857,0.604838
727,0.209241,0.228895,0.305938,0.366245,0.436153,0.549073,0.604951
728,0.210497,0.228500,0.305981,0.366984,0.435761,0.548931,0.605525
729,0.208167,0.227904,0.305970,0.367187,0.434878,0.550371,0.606013
730,0.209249,0.229704,0.306149,0.366593,0.433592,0.551563,0.604079
731,0.207305,0.228676,0.306307,0.366723,0.433260,0.554885,0.601980
732,0.207715,0.229611,0.306354,0.366251,0.433961,0.550140,0.605053
733,0.206839,0.229806,0.305565,0.366268,0.432831,0.549957,0.605395
734,0.207049,0.228843,0.305556,0.366154,0.432559,0.549776,0.603050
735,0.207551,0.228366,0.305492,0.365668,0.433785,0.549053,0.602296
736,0.207961,0.229394,0.305920,0.365460,0.433965,0.548323,0.604434
737,0.208064,0.229214,0.305726,0.365963,0.432758,0.551531,0.602510
738,0.207812,0.229542,0.305705,0.365291,0.433092,0.552527,0.602777
739,0.207886,0.229131,0.305200,0.365915,0.433456,0.551420,0.602352
740,0.206359,0.229159,0.304767,0.365512,0.433582,0.552628,0.601617
741,0.207040,0.229368,0.303970,0.366001,0.432565,0.551870,0.600626
742,0.206398,0.227901,0.304765,0.366088,0.432897,0.550803,0.601763
743,0.206263,0.226805,0.304434,0.365973,0.432770,0.552233,0.601771
744,0.205996,0.228001,0.304448,0.366133,0.432254,0.551983,0.601632
745,0.207075,0.227768,0.304140,0.365650,0.432648,0.553524,0.600969
746,0.206677,0.228034,0.303272,0.365760,0.433210,0.551983,0.601170
747,0.206779,0.228463,0.303222,0.365013,0.433611,0.552007,0.602098
748,0.206964,0.227817,0.303712,0.365474,0.434255,0.551658,0.601401
749,0.206341,0.227331,0.303442,0.365340,0.434264,0.550593,0.604755
750,0.205384,0.226784,0.302942,0.365540,0.433649,0.551727,0.605157
751,0.205934,0.227902,0.301961,0.365134,0.433088,0.553322,0.606020
752,0.205279,0.226941,0.301789,0.365958,0.435119,0.552472,0.603654
